id,cargo,cbo,cenario,salario_base_brl,hc,fora_do_mix_be,fonte
m10-01,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-02,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-03,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-04,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-05,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-06,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-07,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-08,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-09,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
m10-10,Motorista de Coleta/Entrega,7823-10,cct,1845,1,sim,anexo RH proposta
